CIP_Occupation_Title,NSSBIC_Occupation_Title
Public Administration,Business & Administrative Services
Public Policy Analysis,Business & Administrative Services
"Public Administration & Services, Other",Business & Administrative Services
"Business/Commerce, General",Business & Administrative Services
Business Administration/Management,Business & Administrative Services
Transportation/Transportation Management  (New),Business & Administrative Services
Entrepreneurship/Entrepreneurial Studies,Business & Administrative Services
International Business/Trade/Commerce,Business & Administrative Services
Public Administration,Public Administration & Legal Services
Public Policy Analysis,Public Administration & Legal Services
"Public Administration & Services, Other",Public Administration & Legal Services
Business Administration/Management,Business & Administrative Services
Transportation/Transportation Management  (New),Business & Administrative Services
Entrepreneurship/Entrepreneurial Studies,Business & Administrative Services
International Business/Trade/Commerce,Business & Administrative Services
International Finance,Finance & Insurance
Public Finance,Finance & Insurance
Credit Management   (New),Finance & Insurance
Public Administration,Business & Administrative Services
Business Administration/Management,Business & Administrative Services
Entrepreneurship/Entrepreneurial Studies,Business & Administrative Services
International Business/Trade/Commerce,Business & Administrative Services
Public Administration,Public Administration & Legal Services
Public Policy Analysis,Public Administration & Legal Services
"Public Administration & Services, Other",Public Administration & Legal Services
Public Relations/Image Management,"Communications, Entertainment, & Information"
Advertising  (New),"Communications, Entertainment, & Information"
"Marketing/Marketing Management, General","Communications, Entertainment, & Information"
Consumer Merchandising/Retailing Management  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
Apparel & Textile Marketing Management  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Marketing/Marketing Management, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Accounting & Business/Management   (New),Finance & Insurance
Pastoral Studies/Counseling,Not assigned
Clinical Pastoral Counseling/Patient Counseling   (New),Not assigned
Marketing Research,"Retail & Wholesale Trade, Real Estate & Personal Services"
International Marketing,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Marketing, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Consumer Merchandising/Retailing Management  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Business/Commerce, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Business Administration/Management,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Marketing/Marketing Management, General","Retail & Wholesale Trade, Real Estate & Personal Services"
"Marketing, Other","Retail & Wholesale Trade, Real Estate & Personal Services"
Public Relations/Image Management,"Communications, Entertainment, & Information"
Public Administration,Business & Administrative Services
Medical/Health Management & Clinical Assistant/Specialist   (New),Business & Administrative Services
Medical Staff Services Technology/Technician  (New),Business & Administrative Services
"Business/Commerce, General",Business & Administrative Services
Orthopedics/Orthopedic Surgery,Health & Human Services
Plastic Surgery,Health & Human Services
Veterinary Practice,"Agriculture, Forestry, & Fishing"
Business Administration/Management,Business & Administrative Services
"Purchasing, Procurement/Acquisitions & Contracts Management",Business & Administrative Services
Transportation/Transportation Management  (New),Business & Administrative Services
"Computer & Information Sciences, General",Scientific & Technical Services
Computer Science,Scientific & Technical Services
Information Science/Studies,Scientific & Technical Services
System Administration/Administrator  (New),Scientific & Technical Services
Operations Management & Supervision,Scientific & Technical Services
"Management Information Systems, General",Scientific & Technical Services
Information Resources Management/CIO Training   (New),Scientific & Technical Services
Knowledge Management   (New),Scientific & Technical Services
Accounting and Finance   (NEW),Finance & Insurance
Accounting & Business/Management   (New),Finance & Insurance
"Finance, General",Finance & Insurance
"Finance & Financial Management Services, Other",Finance & Insurance
Accounting & Finance   (New),Finance & Insurance
Accounting & Business/Management   (New),Finance & Insurance
"Finance, General",Finance & Insurance
International Finance,Finance & Insurance
Public Finance,Finance & Insurance
Credit Management   (New),Finance & Insurance
"Finance & Financial Management Services, Other",Finance & Insurance
Accounting & Finance   (New),Finance & Insurance
"Finance, General",Finance & Insurance
International Finance,Finance & Insurance
Public Finance,Finance & Insurance
Credit Management   (New),Finance & Insurance
"Finance & Financial Management Services, Other",Finance & Insurance
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Business & Administrative Services
Theriogenology,"Agriculture, Forestry, & Fishing"
Carpentry/Carpenter,Construction
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
